,Month,Day,Team,Opponent,Ball Possession %,Goal Scored,Free Kicks,Pass Accuracy %,Yellow Card,Red,1st Goal,Own goals,Own goal Time
0,6,14,Russia,Saudi Arabia,40,5,11,78,0,0,12.0,0.0,0.0
1,6,14,Saudi Arabia,Russia,60,0,25,86,0,0,0.0,0.0,0.0
2,6,15,Egypt,Uruguay,43,0,7,78,2,0,0.0,0.0,0.0
3,6,15,Iran,Morocco,36,1,22,86,3,0,90.0,0.0,0.0
4,6,15,Morocco,Iran,64,0,14,86,1,0,0.0,1.0,90.0
5,6,15,Portugal,Spain,39,3,13,87,1,0,4.0,0.0,0.0
6,6,15,Spain,Portugal,61,3,13,93,1,0,24.0,0.0,0.0
7,6,15,Uruguay,Egypt,57,1,13,86,0,0,89.0,0.0,0.0
8,6,16,Argentina,Iceland,72,1,15,92,0,0,19.0,0.0,0.0
9,6,16,Australia,France,49,1,16,85,3,0,62.0,1.0,81.0
10,6,16,Denmark,Peru,48,1,15,82,2,0,59.0,0.0,0.0
11,6,16,France,Australia,51,2,19,87,1,0,58.0,0.0,0.0
12,6,16,Iceland,Argentina,28,1,10,67,0,0,23.0,0.0,0.0
13,6,16,Peru,Denmark,52,0,21,85,1,0,0.0,0.0,0.0
14,6,17,Brazil,Switzerland,52,1,19,88,1,0,20.0,0.0,0.0
15,6,17,Costa Rica,Serbia,50,0,18,83,2,0,0.0,0.0,0.0
16,6,17,Croatia,Nigeria,54,2,17,84,2,0,32.0,0.0,0.0
17,6,17,Germany,Mexico,60,0,17,88,2,0,0.0,0.0,0.0
18,6,17,Mexico,Germany,40,1,11,82,2,0,35.0,0.0,0.0
19,6,17,Nigeria,Croatia,46,0,22,84,1,0,0.0,1.0,32.0
20,6,17,Serbia,Costa Rica,50,1,19,83,2,0,56.0,0.0,0.0
21,6,17,Switzerland,Brazil,48,1,13,83,3,0,50.0,0.0,0.0
22,6,18,Belgium,Panama,61,3,21,89,3,0,47.0,0.0,0.0
23,6,18,England,Tunisia,59,2,16,91,1,0,35.0,0.0,0.0
24,6,18,Korea Republic,Sweden,48,0,21,79,2,0,0.0,0.0,0.0
25,6,18,Panama,Belgium,39,0,18,82,5,0,0.0,0.0,0.0
26,6,18,Sweden,Korea Republic,52,1,23,84,1,0,65.0,0.0,0.0
27,6,18,Tunisia,England,41,1,11,82,0,0,11.0,0.0,0.0
28,6,19,Colombia,Japan,41,1,10,82,2,1,39.0,0.0,0.0
29,6,19,Egypt,Russia,53,1,11,81,1,0,47.0,1.0,47.0
30,6,19,Japan,Colombia,59,2,17,87,1,0,6.0,0.0,0.0
31,6,19,Poland,Senegal,57,1,18,88,1,0,37.0,1.0,37.0
32,6,19,Russia,Egypt,47,3,10,76,1,0,59.0,0.0,0.0
33,6,19,Senegal,Poland,43,2,11,81,2,0,60.0,0.0,0.0
34,6,20,Iran,Spain,30,0,15,69,2,0,0.0,0.0,0.0
35,6,20,Morocco,Portugal,53,0,20,77,1,0,0.0,0.0,0.0
36,6,20,Portugal,Morocco,47,1,24,76,1,0,4.0,0.0,0.0
37,6,20,Saudi Arabia,Uruguay,53,0,11,86,0,0,0.0,0.0,0.0
38,6,20,Spain,Iran,70,1,16,89,0,0,54.0,0.0,0.0
39,6,20,Uruguay,Saudi Arabia,47,1,15,88,0,0,23.0,0.0,0.0
40,6,21,Argentina,Croatia,58,0,26,81,3,0,0.0,0.0,0.0
41,6,21,Australia,Denmark,51,1,8,85,0,0,38.0,0.0,0.0
42,6,21,Croatia,Argentina,42,3,18,80,4,0,53.0,0.0,0.0
43,6,21,Denmark,Australia,49,1,5,88,2,0,7.0,0.0,0.0
44,6,21,France,Peru,44,1,16,77,2,0,34.0,0.0,0.0
